Column 1 1 2 1,CATEGORY,Column 1 2 1 3 2 1 1,Column 1 2 1 3 2 2 1,Column 1 2 1 3 2 3 1,Column 1 2 1 3 2 4 1
"""rsvpBOOK Session Webinars""","[""scheduling-calendar""]","""Product Usage""",,,
"""Watton""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Voxpopme""","[""analytics""]","""Registration Information""","""Content""","""Product Usage""",
"""Peer""","[""education"",""learning-development""]","""Product Usage""",,,
"""VideoKen AI""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Product Usage""",
"""Nearness""","[""marketing""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""10er Karte""","[""eCommerce""]",,,,
"""Acado""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MeetOnline""","[""scheduling-calendar""]",,,,
"""plumedot""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Fettle""","[""social-activities""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Wishpond""","[""scheduling-calendar""]","""Product Usage""",,,
"""Tread""","[""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Bookd""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Productiv""","[""analytics""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""10to8 Scheduling""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Yva.ai Connector for Zoom""","[""human-resources""]","""Registration Information""","""Content""","""Product Usage""",
"""Modjo""","[""sales-automation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""GReminders Scheduling and SMS Reminders""","[""health-care"",""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""GoodTime Interview Scheduling""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Vectrix""","[""content-and-compliance""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""WellnessLiving""","[""eventmanagement""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Team Games""","[""games"",""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Echo360""","[""education"",""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Global Relay Archive for Meetings""","[""content-and-compliance""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Path LMS""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Book Like A Boss""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Modern Hire - AU""","[""human-resources""]","""Product Usage""",,,
"""Bardeen""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Spinach.io - Crush your daily standup""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Chronus""","[""learning-development""]","""Product Usage""",,,
"""Theta Lake for Zoom Chat""","[""content-and-compliance"",""financialServices""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Appointy Meetings For Zoom""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Retain.ai""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Shared Backgrounds""","[""productivity""]","""Product Usage""",,,
"""Marsview Live Notes for Zoom""","[""education"",""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""iCIMS for Zoom""","[""human-resources""]","""Product Usage""",,,
"""User Interviews""","[""marketing""]","""Product Usage""",,,
"""Modern Hire - EU""","[""human-resources""]","""Product Usage""",,,
"""Interval""","[""scheduling-calendar""]","""Product Usage""",,,
"""Keka""","[""customer-service""]","""Product Usage""",,,
"""TeachForce""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Nutrium""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""MightyForms""","[""health-care"",""scheduling-calendar""]","""Product Usage""",,,
"""OnBoard""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""AI Gijiroku Torerukun""","[""transcription-translation""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""12Twenty""","[""education"",""scheduling-calendar""]","""Product Usage""",,,
"""LabHok""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Rootly""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""OnlineAfspraken.nl""","[""scheduling-calendar""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ZiftONE""","[""marketing""]","""Product Usage""",,,
"""vmedulife""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""GitHub Enterprise""","[""productivity""]","""Content""","""Participant Profile & Contact Information""","""Product Usage""",
"""Fons""","[""scheduling-calendar""]","""Product Usage""",,,
"""JANDI""","[""team-collaborations""]","""Product Usage""",,,
"""GivePulse""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""RC Together""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Utisha""","[""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""ELMO Connect""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Miter""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Calendars By Geniam""","[""education"",""learning-development""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Cerner""","[""health-care"",""health-wellness""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Teachfloor""","[""education"",""learning-development""]","""Product Usage""",,,
"""Blossom""","[""recording-transcriptions""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Blendr""","[""productivity""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
"""Metix""","[""team-collaborations""]","""Registration Information""","""Content""","""Participant Profile & Contact Information""","""Product Usage"""
